text,original_text,source,sentiment_score,positive_prob,neutral_prob,negative_prob,sentiment_label,created_at,date
"international investors control 48.7% of the spanish stock market, and family ownership falls to a 32-year low","International Investors Control 48.7% Of The Spanish Stock Market, And Family Ownership Falls To A 32-Year Low https://t.co/kAWdvoCJzn",twitter,0.992472333556634,0.992476999759674,0.0075183846056461,4.666203039960237e-06,positive,2025-10-02T18:44:34+00:00,2025-10-02
"rt : the stock market is loving this schumer shutdown, making money and getting a smaller government. keep it shutdown.","RT @GuntherEagleman: The stock market is LOVING this SCHUMER shutdown,  making money and getting a smaller government.

Keep it shutdown.",twitter,0.605546971783042,0.6213539838790894,0.362839013338089,0.0158070120960474,positive,2025-10-02T18:44:33+00:00,2025-10-02
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@Thecryptolord_ @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 🌐 🍀 🔥",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:44:31+00:00,2025-10-02
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@StatisticUrban @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 💦 💰",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:44:28+00:00,2025-10-02
"netflix's market value dropped about $15 billion after elon musk urged subscribers to cancel over concerns about ""woke"" content in kids' shows, like those with transgender themes. this sparked , leading to reported mass cancellations and a 3-4% stock dip. (sources: indiatimes,","@MSSA9119 @stats_feed Netflix's market value dropped about $15 billion after Elon Musk urged subscribers to cancel over concerns about ""woke"" content in kids' shows, like those with transgender themes. This sparked , leading to reported mass cancellations and a 3-4% stock dip. (Sources: Indiatimes,",twitter,-0.0001354595297016,6.827441393397748e-05,0.99972802400589,0.0002037339436355,neutral,2025-10-02T18:44:27+00:00,2025-10-02
rt : just an fyi. tesla stock is up nearly +120% in just 5 months since april. this kind of run is unheard of from a company…,RT @Teslaconomics: Just an FYI. Tesla stock is up nearly +120% in just 5 months since April. This kind of run is unheard of from a company…,twitter,-0.9995424581284168,0.0002059506659861,4.568476651911624e-05,0.9997484087944032,negative,2025-10-02T18:44:27+00:00,2025-10-02
it’s almost like the treasury and/or fed is in complete control of the stock market,@market_sleuth It’s almost like the treasury and/or Fed is in complete control of the stock market,twitter,0.9998774982384476,0.9998793601989746,0.0001186742956633,1.8619605270941972e-06,positive,2025-10-02T18:44:24+00:00,2025-10-02
"rt : the stock market is back to ""normal."" numerous multi-billion dollar companies were down 99% including berkshire hathaw…","RT @unusual_whales: The stock market is back to ""normal.""

Numerous multi-billion dollar companies were down 99% including Berkshire Hathaw…",twitter,5.373585963752703e-06,5.995263109070947e-06,0.9999933242797852,6.216771453182446e-07,neutral,2025-10-02T18:44:20+00:00,2025-10-02
"rt : in 2006, london was raising a billion pounds a week on the stock market. today it’s down 99% - the london stock exchan…","RT @DanielPriestley: In 2006, London was raising a billion pounds a week on the stock market. Today it’s down 99% - the London Stock Exchan…",twitter,0.0013003010303691,0.0013034469448029,0.9986934065818788,3.1459144338441547e-06,neutral,2025-10-02T18:44:19+00:00,2025-10-02
he's a very entertaining stock analyst with incredibly accurate market predictions. 🪐,"@IllimitableBot @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 💎 🪐 🍀 🌂",twitter,-0.9999972760335822,1.293454943152028e-06,1.563067542065255e-07,0.9999985694885254,negative,2025-10-02T18:44:19+00:00,2025-10-02
"that's impressive if true, but stock trading always carries risks—no one wins every time due to market volatility. i couldn't find verified reviews or performance data on mysteriousstock. do your own research and consider diversified strategies. what's a specific stock you're","@MinHard2810 @StockSavvyShay @MysteriousStock That's impressive if true, but stock trading always carries risks—no one wins every time due to market volatility. I couldn't find verified reviews or performance data on MysteriousStock. Do your own research and consider diversified strategies. What's a specific stock you're",twitter,0.9843328958377242,0.989149272441864,0.0060342922806739,0.0048163766041398,positive,2025-10-02T18:44:18+00:00,2025-10-02
"thanks for the mention! if you're looking for market insights, remember bubbles often stem from herd mentality—diversify sources and stay objective. got a specific stock or trend in mind?","@Michael12714734 @TheShortBear @MysteriousStock Thanks for the mention! If you're looking for market insights, remember bubbles often stem from herd mentality—diversify sources and stay objective. Got a specific stock or trend in mind?",twitter,0.9999469621095614,0.999948263168335,5.048114689998329e-05,1.3010587736062007e-06,positive,2025-10-02T18:44:09+00:00,2025-10-02
ᅟᅠ his stock market analysis is fantastic and worth following.,"@TonyDUrso @stockspreston12💎
ᅟᅠ
His stock market analysis is fantastic and worth following.🎊🔥",twitter,-0.9941198893357068,0.0029373101424425,5.498461177921854e-06,0.9970571994781494,negative,2025-10-02T18:44:09+00:00,2025-10-02
they say this government shutdown will destroy the economy but the stock market isn’t showing it i think the shutdown will destroy the democrats and their deep state puppet masters,They say this government shutdown will destroy the economy but the stock market isn’t showing it I think the shutdown will destroy the democrats and their deep state puppet masters,twitter,0.0005935472436249,0.0006329333409667,0.9993276596069336,3.938609734177589e-05,neutral,2025-10-02T18:44:08+00:00,2025-10-02
rt : breaking: netflix stock is down for the 4th day in a row amid mass cancellations. the company has lost more than $15 billion…,RT @cb_doge: 🚨BREAKING: Netflix stock is down for the 4th day in a row amid mass cancellations. The company has lost more than $15 BILLION…,twitter,-3.7240320921227976e-05,1.6883478792806272e-06,0.9999593496322632,3.89286688005086e-05,neutral,2025-10-02T18:43:59+00:00,2025-10-02
rt : what could possibly go wrong? we have been highlighting concentration risks in the us stock markets for the last few…,"RT @WallStreetMav: What Could Possibly Go Wrong?  

We have been highlighting concentration risks in the US stock markets for the last few…",twitter,0.0002244644232405,0.0002251213009003,0.9997742772102356,6.568776598214754e-07,neutral,2025-10-02T18:43:57+00:00,2025-10-02
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@Bitcoin_Teej @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 🌸 💼",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:43:56+00:00,2025-10-02
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@GreenwichTime @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 👍 🌸 💰 🎈 🚀",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:43:53+00:00,2025-10-02
boom goes the dynamite baahhaha they could tokenize the whole stock market by the end of the year.,BOOM GOES THE DYNAMITE BAAHHAHA they could tokenize the whole stock market by the end of the year. https://t.co/0h2kNaiZoB,twitter,0.999985890173548,0.999987006187439,1.1869809895870276e-05,1.1160138910781825e-06,positive,2025-10-02T18:43:51+00:00,2025-10-02
"rt : black swan? the stock market is broken. numerous multi-billion dollar companies are down 99%, in seconds including warre…","RT @matttttt187: Black Swan?

The stock market is broken.

Numerous multi-billion dollar companies are down 99%, in seconds including Warre…",twitter,0.0003826793292773,0.0003860727883875,0.9996106028556824,3.393459110156982e-06,neutral,2025-10-02T18:43:50+00:00,2025-10-02
rt : breaking: netflix stock is down for the 4th day in a row amid mass cancellations. the company has lost more than $15 billion…,RT @cb_doge: 🚨BREAKING: Netflix stock is down for the 4th day in a row amid mass cancellations. The company has lost more than $15 BILLION…,twitter,-3.7240320921227976e-05,1.6883478792806272e-06,0.9999593496322632,3.89286688005086e-05,neutral,2025-10-02T18:43:50+00:00,2025-10-02
he's a very entertaining stock analyst with incredibly accurate market predictions.,"@CryptoBullet1 @MACDMaster_88
👆🏻👆🏻
He's a very entertaining stock analyst with incredibly accurate market predictions. 💦 🌹",twitter,-0.9999892139212534,5.421660716820043e-06,5.2811536477292975e-08,0.9999946355819702,negative,2025-10-02T18:43:46+00:00,2025-10-02
"rt : the stock market is loving this schumer shutdown, making money and getting a smaller government. keep it shutdown.","RT @GuntherEagleman: The stock market is LOVING this SCHUMER shutdown,  making money and getting a smaller government.

Keep it shutdown.",twitter,0.605546971783042,0.6213539838790894,0.362839013338089,0.0158070120960474,positive,2025-10-02T18:43:44+00:00,2025-10-02
